CMR Processing Modes	CMR-Verarbeitungsmodi
CMR processing modes tell the print system how to apply a CMR to the print data it is associated with. You specify a CMR processing mode whenever you specify a CMR, although not all modes are valid for all CMR types.	Über die CMR-Verarbeitungsmodi wird das Drucksystem angewiesen, wie eine CMR auf die Druckdaten angewendet werden soll, denen sie zugeordnet ist. Sie geben einen CMR-Verarbeitungsmodus immer dann an, wenn Sie eine CMR angeben. Allerdings sind nicht alle Modi für alle CMR-Typen gültig.
Color management resourcesProcessing modes	FarbmanagementressourcenVerarbeitungsmodi
Updating the coded font and code page mappings for AFP banner pages	Zuordnungen von codierten Fonts und Codepages für AFP-Bannerseiten aktualisieren
For jobs sent to AFP printers, you can update the banner_page_code_page_mapping.cfg configuration file to add custom coded font and code page mappings to use with banner pages. If you create your own coded fonts, you specify them in this file so that  can use them. A sample banner_page_code_page_mapping.cfg file is installed in /aiw/aiw1/samples/banner_pages/ (AIX and Linux) or C:\aiw\aiw1\samples\banner_pages\ (Windows) and in /aiw/aiw1/control_files/banner_pages/ (AIX and Linux) or C:\aiw\aiw1\control_files\banner_pages\ (Windows).	Für an AFP-Drucker gesendete Jobs können Sie die Konfigurationsdatei banner_page_code_page_mapping.cfg aktualisieren, um Zuordnungen von kundenspezifischen codierten Fonts und Codepages hinzuzufügen, die mit Bannerseiten benutzt werden sollen. Wenn Sie eigene codierte Fonts erstellen, müssen Sie diese Fonts in dieser Datei angeben, damit  sie verwenden kann. Eine Musterdatei banner_page_code_page_mapping.cfg ist unter /aiw/aiw1/samples/banner_pages/ (AIX und Linux) oder C:\aiw\aiw1\samples\banner_pages\ (Windows) und unter /aiw/aiw1/control_files/banner_pages/ (AIX und Linux) oder C:\aiw\aiw1\control_files\banner_pages\ (Windows) installiert.
banner_page_code_page_mapping.cfg filebanner pagesbanner_page_code_page_mapping.cfgfiles	Datei banner_page_code_page_mapping.cfgBannerseitenbanner_page_code_page_mapping.cfgDateien
Updates might overwrite files in the /aiw/aiw1/samples/banner_pages/ (AIX and Linux) or C:\aiw\aiw1\samples\banner_pages\ (Windows) directory, but they do not overwrite files in the /aiw/aiw1/control_files/banner_pages/ (AIX and Linux) or C:\aiw\aiw1\control_files\banner_pages\ (Windows) directory. We recommend copying sample files into the /aiw/aiw1/control_files/banner_pages/ (AIX and Linux) or C:\aiw\aiw1\control_files\banner_pages\ (Windows) directory and making all your changes in the copied file.Any coded fonts that you create must be in one of these directories so that  can locate and use them:	Updates überschreiben möglicherweise Dateien in den Verzeichnissen /aiw/aiw1/samples/banner_pages/ (AIX und Linux) oder C:\aiw\aiw1\samples\banner_pages\ (Windows), sie überschreiben jedoch keine Dateien in den Verzeichnissen /aiw/aiw1/control_files/banner_pages/ (AIX und Linux) oder C:\aiw\aiw1\control_files\banner_pages\ (Windows). Wir empfehlen, Musterdateien in die Verzeichnisse /aiw/aiw1/control_files/banner_pages/ ( AIX und Linux) oder C:\aiw\aiw1\control_files\banner_pages\ (Windows) zu kopieren und alle Änderungen in der kopierten Datei vorzunehmen.Alle erstellten codierten Fonts müssen sich in einem der folgenden Verzeichnisse befinden, damit  sie lokalisieren und verwenden kann:
The directory that the AFP resource path property for the job associated with the banner page specifies	Das Verzeichnis, das in dem Merkmal AFP-Ressourcenpfad für den Job angegeben ist, der den Bannerseiten zugeordnet ist
/aiw/aiw1/resources (AIX and Linux) or C:\aiw\aiw1\resources (Windows)	/aiw/aiw1/resources (AIX und Linux) oder C:\aiw\aiw1\resources (Windows)
/usr/lpp/psf/reslib (AIX and Linux) or C:\Program Files (x86)\Ricoh\PSF\reslib (Windows)	/usr/lpp/psf/reslib (AIX und Linux) oder C:\Program Files (x86)\Ricoh\PSF\reslib (Windows)
To update coded font and code page mappings for AFP banner pages:	Gehen Sie wie folgt vor, um Zuordnungen von codierten Fonts und Codepages für AFP-Bannerseiten zu aktualisieren:
(AIX and Linux) or	(AIX und Linux) oder
Navigate to /aiw/aiw1/control_files/banner_pages/ (AIX and Linux) or C:\aiw\aiw1\control_files\banner_pages\ (Windows).	Navigieren Sie zu /aiw/aiw1/control_files/banner_pages/ (AIX und Linux) oder C:\aiw\aiw1\control_files\banner_pages\ (Windows).
Open the banner_page_code_page_mapping.cfg file with a text editor.	Öffnen Sie die Datei banner_page_code_page_mapping.cfg in einem Texteditor.
Lines that begin with a number sign (#) are comments that contain information and instructions.	Zeilen, die mit einem Nummernzeichen (#) beginnen, sind Kommentare, die Informationen und Anweisungen enthalten.
